trade_id,entry_date,entry_dte,entry_spot,entry_strike,expiry,exit_date,days_held,peak_day_actual,peak_pnl_actual,final_pnl,max_drawdown,decay_from_peak,win,entry_greeks_theta,entry_greeks_vega,entry_greeks_gamma
Profile_3_CHARM_2024-05-06_517,2024-05-06,46,516.6,517,2024-06-21,2024-05-24,14,13,191.8000000000001,5.799999999999864,-2092.6,186.00000000000023,1,66.54447360330143,-145.16428479569336,-0.038164901094322086
Profile_3_CHARM_2024-07-19_549,2024-07-19,28,548.93,549,2024-08-16,2024-08-08,14,6,222.8000000000001,-318.20000000000016,-2981.6,541.0000000000002,0,98.55436300688271,-120.66722739039166,-0.04217160839330131
Profile_3_CHARM_2024-07-26_544,2024-07-26,21,544.38,544,2024-08-16,2024-08-15,14,13,989.8000000000001,592.8000000000001,-2705.6,397.0,1,124.55854501572446,-103.58200375365422,-0.04436611669281981
Profile_3_CHARM_2024-08-15_553,2024-08-15,36,553.0678,553,2024-09-20,2024-09-05,14,14,367.80000000000007,367.80000000000007,-2053.6,0.0,1,82.18285350619456,-137.4176523346806,-0.03939994574703431
Profile_3_CHARM_2024-09-16_563,2024-09-16,32,562.86,563,2024-10-18,2024-10-04,14,13,299.8000000000005,193.80000000000032,-1876.6,106.0000000000002,1,87.23957652471873,-132.1212088889613,-0.04176835653859488
Profile_3_CHARM_2024-10-23_578,2024-10-23,23,577.93,578,2024-11-15,2024-11-12,14,9,340.80000000000007,-69.1999999999999,-2110.6,410.0,0,138.8723528350132,-115.36171994808448,-0.036343075803782335
Profile_3_CHARM_2024-10-31_569,2024-10-31,15,568.55,569,2024-11-15,2024-11-15,11,11,307.80000000000007,307.80000000000007,-3021.6000000000004,0.0,1,208.79334755167886,-91.88292236939904,-0.03704457967780351
Profile_3_CHARM_2024-11-15_586,2024-11-15,35,585.7,586,2024-12-20,2024-12-06,14,1,35.80000000000032,-454.19999999999993,-2428.6,490.0000000000002,0,91.48600279189831,-143.87143866793872,-0.036387756417875824
Profile_3_CHARM_2024-12-09_605,2024-12-09,39,604.66,605,2025-01-17,2024-12-30,14,12,532.8000000000003,-146.19999999999968,-2474.6,679.0,0,75.04252793763808,-156.37709724874878,-0.04002938568866643
Profile_3_CHARM_2024-12-18_586,2024-12-18,30,586.3,586,2025-01-17,2025-01-10,14,14,1403.8000000000002,1403.8000000000002,-2552.6,0.0,1,121.29662141601311,-133.29398992720482,-0.03187323191005755
Profile_3_CHARM_2024-12-26_601,2024-12-26,22,601.25,601,2025-01-17,2025-01-17,14,14,962.8000000000001,962.8000000000001,-2079.6,0.0,1,102.243942427133,-116.87575736482613,-0.05181805246048942
Profile_3_CHARM_2025-01-27_599,2025-01-27,25,599.41,599,2025-02-21,2025-02-14,14,12,754.8000000000001,561.8000000000001,-1836.6,193.0,1,122.23085303533901,-124.33012398001222,-0.037993955216488844
Profile_3_CHARM_2025-02-03_598,2025-02-03,46,597.65,598,2025-03-21,2025-02-24,14,14,612.8000000000001,612.8000000000001,-2608.6,0.0,1,92.15632933507611,-168.1439997635426,-0.027422315543176003
Profile_3_CHARM_2025-02-20_610,2025-02-20,29,610.39,610,2025-03-21,2025-03-12,14,0,-17.19999999999991,-3490.2,-5360.6,3473.0,0,92.6470610460037,-135.88262573574153,-0.04339428787226798
Profile_3_CHARM_2025-04-29_554,2025-04-29,17,554.14,554,2025-05-16,2025-05-16,13,8,433.8000000000003,-1969.1999999999998,-4035.6,2403.0,0,188.18803814725743,-95.16428788796615,-0.03623632428052509
Profile_3_CHARM_2025-06-13_597,2025-06-13,35,596.95,597,2025-07-18,2025-07-07,14,5,332.80000000000007,-224.1999999999999,-3209.6,557.0,0,105.08681608571789,-146.59730948632114,-0.03159560907547065
Profile_3_CHARM_2025-08-01_622,2025-08-01,14,621.71,622,2025-08-15,2025-08-15,10,2,175.80000000000032,-529.1999999999999,-2363.6000000000004,705.0000000000002,0,179.96943066727596,-97.01773133057308,-0.04611072367064881
Profile_3_CHARM_2025-08-19_640,2025-08-19,31,639.77,640,2025-09-19,2025-09-09,14,12,427.8000000000005,330.8000000000003,-1948.5999999999995,97.00000000000023,1,97.30564580239403,-147.8533707062498,-0.03868290514053046
